config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
all;j6010_1;62;323;47;154;154;1;39.46;52.38;1;1;0.0
all;j6010_10;62;319;46;134;154;1;60.15;76.62;1;1;14.93
all;j6010_2;62;353;51;124;133;1;60.14;81.05;1;1;7.26
all;j6010_3;62;353;51;132;147;1;60.2;81.38;1;1;11.36
all;j6010_4;62;330;48;146;161;1;58.04;79.49;1;1;10.27
all;j6010_5;62;377;54;144;147;1;60.19;83.6;1;1;2.08
all;j6010_6;62;322;46;126;140;1;53.02;71.93;1;1;11.11
all;j6010_7;62;346;50;127;133;1;58.04;79.8;1;1;4.72
all;j6010_8;62;303;44;116;126;1;58.4;76.24;1;1;8.62
all;j6010_9;62;358;52;152;168;1;60.19;82.73;1;1;10.53
