config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
network_only;j6010_1;62;323;47;154;154;1;60.2;79.45;1;1;0.0
network_only;j6010_10;62;319;46;134;126;1;60.18;76.61;1;1;-5.97
network_only;j6010_2;62;353;51;124;133;1;60.15;78.24;1;1;7.26
network_only;j6010_3;62;353;51;132;147;1;60.18;78.64;1;1;11.36
network_only;j6010_4;62;330;48;146;161;1;60.13;76.87;1;1;10.27
network_only;j6010_5;62;377;54;144;147;1;60.18;80.24;1;1;2.08
network_only;j6010_6;62;322;46;126;140;1;60.13;75.5;1;1;11.11
network_only;j6010_7;62;346;50;127;133;1;60.22;78.16;1;1;4.72
network_only;j6010_8;62;303;44;116;126;1;60.1;74.35;1;1;8.62
network_only;j6010_9;62;358;52;152;168;1;60.13;76.83;1;1;10.53
