config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
no_resource;j6010_1;62;323;47;154;154;1;59.09;71.71;1;1;0.0
no_resource;j6010_10;62;319;46;134;154;1;53.35;68.25;1;1;14.93
no_resource;j6010_2;62;353;51;124;133;1;60.15;79.6;1;1;7.26
no_resource;j6010_3;62;353;51;132;147;1;58.25;77.98;1;1;11.36
no_resource;j6010_4;62;330;48;146;161;1;60.24;81.1;1;1;10.27
no_resource;j6010_5;62;377;54;144;147;1;60.19;82.51;1;1;2.08
no_resource;j6010_6;62;322;46;126;140;1;60.15;78.14;1;1;11.11
no_resource;j6010_7;62;346;50;127;133;1;60.17;80.74;1;1;4.72
no_resource;j6010_8;62;303;44;116;126;1;48.79;65.07;1;1;8.62
no_resource;j6010_9;62;358;52;152;168;1;41.62;63.82;1;1;10.53
