config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
resource_only;j6010_1;62;323;47;154;154;1;32.52;51.1;1;1;0.0
resource_only;j6010_10;62;319;46;134;154;1;60.11;78.09;1;1;14.93
resource_only;j6010_2;62;353;51;124;133;1;44.85;64.36;1;1;7.26
resource_only;j6010_3;62;353;51;132;147;1;34.33;54.13;1;1;11.36
resource_only;j6010_4;62;330;48;146;161;1;36.63;53.61;1;1;10.27
resource_only;j6010_5;62;377;54;144;147;1;44.96;64.26;1;1;2.08
resource_only;j6010_6;62;322;46;126;140;1;48.76;65.56;1;1;11.11
resource_only;j6010_7;62;346;50;127;133;1;48.7;66.81;1;1;4.72
resource_only;j6010_8;62;303;44;116;126;1;60.21;75.93;1;1;8.62
resource_only;j6010_9;62;358;52;152;168;1;60.56;79.88;1;1;10.53
