config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
urgency_only;j6010_1;62;323;47;154;154;1;60.11;79.38;1;1;0.0
urgency_only;j6010_10;62;319;46;134;154;1;60.14;76.42;1;1;14.93
urgency_only;j6010_2;62;353;51;124;133;1;60.2;78.07;1;1;7.26
urgency_only;j6010_3;62;353;51;132;147;1;60.18;78.41;1;1;11.36
urgency_only;j6010_4;62;330;48;146;161;1;60.13;76.67;1;1;10.27
urgency_only;j6010_5;62;377;54;144;147;1;60.18;80.0;1;1;2.08
urgency_only;j6010_6;62;322;46;126;140;1;60.16;75.42;1;1;11.11
urgency_only;j6010_7;62;346;50;127;133;1;60.15;77.84;1;1;4.72
urgency_only;j6010_8;62;303;44;116;126;1;60.12;74.42;1;1;8.62
urgency_only;j6010_9;62;358;52;152;168;1;60.15;76.75;1;1;10.53
