config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
net4;4;j6010_1;154;154;1;60.14;77.11;0.0
net4;4;j6010_10;134;154;1;60.44;78.63;14.93
net4;4;j6010_2;124;133;1;60.15;84.07;7.26
net4;4;j6010_3;132;147;1;60.15;84.8;11.36
net4;4;j6010_4;146;161;1;60.22;82.78;10.27
net4;4;j6010_5;144;147;1;180.88;214.68;2.08
net4;4;j6010_6;126;140;1;60.16;83.24;11.11
net4;4;j6010_7;127;133;1;60.27;86.02;4.72
net4;4;j6010_8;116;126;1;60.19;81.21;8.62
net4;4;j6010_9;152;168;1;60.19;87.66;10.53
