config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_net_basic;4;j6010_1;154;154;1;60.29;83.87;0.0
p1_net_basic;4;j6010_10;134;154;1;60.19;84.39;14.93
p1_net_basic;4;j6010_2;124;133;1;60.18;87.23;7.26
p1_net_basic;4;j6010_3;132;147;1;60.17;86.08;11.36
p1_net_basic;4;j6010_4;146;161;1;60.22;84.48;10.27
p1_net_basic;4;j6010_5;144;147;1;60.19;90.15;2.08
p1_net_basic;4;j6010_6;126;140;1;60.16;82.69;11.11
p1_net_basic;4;j6010_7;127;133;1;60.35;85.9;4.72
p1_net_basic;4;j6010_8;116;126;1;60.16;81.4;8.62
p1_net_basic;4;j6010_9;152;168;1;60.25;88.13;10.53
