config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_net_ext;3;j6010_1;154;154;1;60.14;77.62;0.0
p1_net_ext;3;j6010_10;134;154;1;60.17;78.91;14.93
p1_net_ext;3;j6010_2;124;133;1;60.15;84.33;7.26
p1_net_ext;3;j6010_3;132;147;1;60.17;84.75;11.36
p1_net_ext;3;j6010_4;146;161;1;60.23;82.75;10.27
p1_net_ext;3;j6010_5;144;147;1;182.26;215.62;2.08
p1_net_ext;3;j6010_6;126;140;1;60.19;82.98;11.11
p1_net_ext;3;j6010_7;127;133;1;60.19;85.85;4.72
p1_net_ext;3;j6010_8;116;126;1;60.19;81.43;8.62
p1_net_ext;3;j6010_9;152;168;1;60.27;87.79;10.53
