config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_cv;4;j6010_1;154;154;1;60.18;77.18;0.0
p1_res_cv;4;j6010_10;134;154;1;60.49;78.69;14.93
p1_res_cv;4;j6010_2;124;133;1;57.8;81.63;7.26
p1_res_cv;4;j6010_3;132;147;0;568.94;602.62;11.36
p1_res_cv;4;j6010_4;146;161;1;60.25;87.72;10.27
p1_res_cv;4;j6010_5;144;147;1;60.22;91.13;2.08
p1_res_cv;4;j6010_6;126;140;1;60.22;84.46;11.11
p1_res_cv;4;j6010_7;127;133;1;60.69;88.28;4.72
p1_res_cv;4;j6010_8;116;126;1;60.16;82.22;8.62
p1_res_cv;4;j6010_9;152;168;1;60.21;87.36;10.53
