config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_iqr;4;j6010_1;154;154;1;52.56;77.03;0.0
p1_res_iqr;4;j6010_10;134;154;1;58.18;81.33;14.93
p1_res_iqr;4;j6010_2;124;133;1;52.28;79.16;7.26
p1_res_iqr;4;j6010_3;132;147;1;52.39;78.43;11.36
p1_res_iqr;4;j6010_4;146;161;1;60.2;84.42;10.27
p1_res_iqr;4;j6010_5;144;147;1;60.49;89.09;2.08
p1_res_iqr;4;j6010_6;126;140;1;44.59;67.07;11.11
p1_res_iqr;4;j6010_7;127;133;1;60.51;86.55;4.72
p1_res_iqr;4;j6010_8;116;126;1;34.09;57.56;8.62
p1_res_iqr;4;j6010_9;152;168;1;47.94;78.52;10.53
