config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_max;4;j6010_1;154;154;1;60.24;83.61;0.0
p1_res_max;4;j6010_10;134;154;1;52.5;77.13;14.93
p1_res_max;4;j6010_2;124;133;1;60.19;86.54;7.26
p1_res_max;4;j6010_3;132;147;1;60.2;87.18;11.36
p1_res_max;4;j6010_4;146;161;1;52.55;76.78;10.27
p1_res_max;4;j6010_5;144;147;1;60.27;89.74;2.08
p1_res_max;4;j6010_6;126;140;1;44.58;67.41;11.11
p1_res_max;4;j6010_7;127;133;1;60.18;85.27;4.72
p1_res_max;4;j6010_8;116;126;1;60.18;81.6;8.62
p1_res_max;4;j6010_9;152;168;1;60.17;88.61;10.53
