config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_min;4;j6010_1;154;154;1;60.22;83.82;0.0
p1_res_min;4;j6010_10;134;154;1;52.67;75.6;14.93
p1_res_min;4;j6010_2;124;133;1;60.62;87.11;7.26
p1_res_min;4;j6010_3;132;147;1;47.89;75.86;11.36
p1_res_min;4;j6010_4;146;161;1;60.21;87.11;10.27
p1_res_min;4;j6010_5;144;147;1;60.51;91.48;2.08
p1_res_min;4;j6010_6;126;140;1;60.47;84.07;11.11
p1_res_min;4;j6010_7;127;133;1;52.72;79.57;4.72
p1_res_min;4;j6010_8;116;126;1;60.56;85.77;8.62
p1_res_min;4;j6010_9;152;168;1;60.16;94.32;10.53
