config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_pnz;4;j6010_1;154;154;1;60.16;83.38;0.0
p1_res_pnz;4;j6010_10;134;154;1;34.13;56.6;14.93
p1_res_pnz;4;j6010_2;124;133;1;36.66;63.5;7.26
p1_res_pnz;4;j6010_3;132;147;0;564.94;601.93;11.36
p1_res_pnz;4;j6010_4;146;161;1;60.58;90.13;10.27
p1_res_pnz;4;j6010_5;144;147;0;560.91;602.44;2.08
p1_res_pnz;4;j6010_6;126;140;1;51.85;84.11;11.11
p1_res_pnz;4;j6010_7;127;133;1;47.71;77.79;4.72
p1_res_pnz;4;j6010_8;116;126;1;60.21;82.72;8.62
p1_res_pnz;4;j6010_9;152;168;1;44.04;74.49;10.53
