config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_tail;4;j6010_1;154;154;1;60.25;77.35;0.0
p1_res_tail;4;j6010_10;134;154;1;43.11;61.34;14.93
p1_res_tail;4;j6010_2;124;133;1;60.28;86.42;7.26
p1_res_tail;4;j6010_3;132;147;0;566.15;600.87;11.36
p1_res_tail;4;j6010_4;146;161;1;57.76;82.64;10.27
p1_res_tail;4;j6010_5;144;147;1;52.12;81.47;2.08
p1_res_tail;4;j6010_6;126;140;1;48.27;71.33;11.11
p1_res_tail;4;j6010_7;127;133;1;48.1;74.95;4.72
p1_res_tail;4;j6010_8;116;126;1;60.33;84.69;8.62
p1_res_tail;4;j6010_9;152;168;1;41.14;68.03;10.53
