config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_urgency;3;j6010_1;154;154;1;60.14;77.93;0.0
p1_urgency;3;j6010_10;134;154;1;60.25;78.96;14.93
p1_urgency;3;j6010_2;124;133;1;60.15;84.62;7.26
p1_urgency;3;j6010_3;132;147;1;60.31;86.02;11.36
p1_urgency;3;j6010_4;146;161;1;60.24;83.25;10.27
p1_urgency;3;j6010_5;144;147;0;120.59;155.19;2.08
p1_urgency;3;j6010_6;126;140;1;60.22;84.07;11.11
p1_urgency;3;j6010_7;127;133;1;60.23;86.58;4.72
p1_urgency;3;j6010_8;116;126;1;60.18;81.61;8.62
p1_urgency;3;j6010_9;152;168;1;60.19;87.96;10.53
