config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+duration;7;j6010_1;154;154;1;60.21;83.39;0.0
p2_net4+duration;7;j6010_10;134;154;1;60.22;83.35;14.93
p2_net4+duration;7;j6010_2;124;133;1;60.17;87.25;7.26
p2_net4+duration;7;j6010_3;132;147;1;60.22;90.62;11.36
p2_net4+duration;7;j6010_4;146;161;1;60.2;85.07;10.27
p2_net4+duration;7;j6010_5;144;147;1;60.18;89.32;2.08
p2_net4+duration;7;j6010_6;126;140;1;60.54;84.64;11.11
p2_net4+duration;7;j6010_7;127;133;1;60.2;90.52;4.72
p2_net4+duration;7;j6010_8;116;126;1;60.3;86.94;8.62
p2_net4+duration;7;j6010_9;152;168;1;60.2;91.17;10.53
