config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_cv;8;j6010_1;154;154;1;38.56;65.75;0.0
p2_net4+res_cv;8;j6010_10;134;154;1;41.21;67.18;14.93
p2_net4+res_cv;8;j6010_2;124;133;1;60.19;89.8;7.26
p2_net4+res_cv;8;j6010_3;132;147;0;554.33;602.21;11.36
p2_net4+res_cv;8;j6010_4;146;161;1;47.31;82.82;10.27
p2_net4+res_cv;8;j6010_5;144;147;0;557.9;602.75;2.08
p2_net4+res_cv;8;j6010_6;126;140;1;56.55;93.78;11.11
p2_net4+res_cv;8;j6010_7;127;133;1;60.67;91.88;4.72
p2_net4+res_cv;8;j6010_8;116;126;1;60.26;84.6;8.62
p2_net4+res_cv;8;j6010_9;152;168;1;60.93;93.73;10.53
