config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_max;8;j6010_1;154;154;1;57.68;83.4;0.0
p2_net4+res_max;8;j6010_10;134;154;1;48.11;73.88;14.93
p2_net4+res_max;8;j6010_2;124;133;1;52.47;82.87;7.26
p2_net4+res_max;8;j6010_3;132;147;1;61.42;97.72;11.36
p2_net4+res_max;8;j6010_4;146;161;1;60.34;95.75;10.27
p2_net4+res_max;8;j6010_5;144;147;1;62.22;101.49;2.08
p2_net4+res_max;8;j6010_6;126;140;1;52.34;78.79;11.11
p2_net4+res_max;8;j6010_7;127;133;1;60.17;91.79;4.72
p2_net4+res_max;8;j6010_8;116;126;1;60.33;85.81;8.62
p2_net4+res_max;8;j6010_9;152;168;0;561.84;603.72;10.53
