config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_min;8;j6010_1;154;154;1;52.16;80.66;0.0
p2_net4+res_min;8;j6010_10;134;154;1;60.19;83.76;14.93
p2_net4+res_min;8;j6010_2;124;133;1;60.45;87.78;7.26
p2_net4+res_min;8;j6010_3;132;147;1;60.21;86.65;11.36
p2_net4+res_min;8;j6010_4;146;161;1;60.21;83.75;10.27
p2_net4+res_min;8;j6010_5;144;147;1;60.21;88.49;2.08
p2_net4+res_min;8;j6010_6;126;140;1;41.6;63.66;11.11
p2_net4+res_min;8;j6010_7;127;133;1;60.26;85.13;4.72
p2_net4+res_min;8;j6010_8;116;126;1;44.88;65.36;8.62
p2_net4+res_min;8;j6010_9;152;168;1;60.21;87.08;10.53
