config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_pnz;8;j6010_1;154;154;1;28.84;54.49;0.0
p2_net4+res_pnz;8;j6010_10;134;154;1;36.17;60.3;14.93
p2_net4+res_pnz;8;j6010_2;124;133;1;60.15;87.07;7.26
p2_net4+res_pnz;8;j6010_3;132;147;1;44.36;70.4;11.36
p2_net4+res_pnz;8;j6010_4;146;161;1;32.39;56.06;10.27
p2_net4+res_pnz;8;j6010_5;144;147;0;566.28;600.6;2.08
p2_net4+res_pnz;8;j6010_6;126;140;1;45.28;58.17;11.11
p2_net4+res_pnz;8;j6010_7;127;133;1;60.12;74.41;4.72
p2_net4+res_pnz;8;j6010_8;116;126;1;26.87;39.09;8.62
p2_net4+res_pnz;8;j6010_9;152;168;1;45.13;60.58;10.53
