config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_range;8;j6010_1;154;154;1;52.55;78.39;0.0
p2_net4+res_range;8;j6010_10;134;154;1;41.23;66.85;14.93
p2_net4+res_range;8;j6010_2;124;133;1;51.86;84.77;7.26
p2_net4+res_range;8;j6010_3;132;147;1;61.62;97.43;11.36
p2_net4+res_range;8;j6010_4;146;161;1;52.28;81.01;10.27
p2_net4+res_range;8;j6010_5;144;147;1;62.03;100.16;2.08
p2_net4+res_range;8;j6010_6;126;140;1;56.96;90.31;11.11
p2_net4+res_range;8;j6010_7;127;133;1;60.16;91.49;4.72
p2_net4+res_range;8;j6010_8;116;126;1;52.05;81.54;8.62
p2_net4+res_range;8;j6010_9;152;168;0;560.26;601.23;10.53
