config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_tail;8;j6010_1;154;154;0;566.81;601.24;0.0
p2_net4+res_tail;8;j6010_10;134;154;1;38.37;65.83;14.93
p2_net4+res_tail;8;j6010_2;124;133;1;60.96;93.63;7.26
p2_net4+res_tail;8;j6010_3;132;147;0;559.26;602.53;11.36
p2_net4+res_tail;8;j6010_4;146;161;1;96.16;132.66;10.27
p2_net4+res_tail;8;j6010_5;144;147;0;564.65;602.47;2.08
p2_net4+res_tail;8;j6010_6;126;140;1;41.38;64.26;11.11
p2_net4+res_tail;8;j6010_7;127;133;1;60.18;84.92;4.72
p2_net4+res_tail;8;j6010_8;116;126;1;39.02;56.16;8.62
p2_net4+res_tail;8;j6010_9;152;168;1;44.69;66.21;10.53
