config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p3_all_net;7;j6010_1;154;154;1;60.19;84.62;0.0
p3_all_net;7;j6010_10;134;154;1;60.16;86.67;14.93
p3_all_net;7;j6010_2;124;133;1;120.48;155.64;7.26
p3_all_net;7;j6010_3;132;147;1;60.37;95.84;11.36
p3_all_net;7;j6010_4;146;161;1;60.27;89.76;10.27
p3_all_net;7;j6010_5;144;147;1;60.21;96.12;2.08
p3_all_net;7;j6010_6;126;140;1;60.15;86.84;11.11
p3_all_net;7;j6010_7;127;133;1;60.66;91.11;4.72
p3_all_net;7;j6010_8;116;126;1;60.15;85.71;8.62
p3_all_net;7;j6010_9;152;168;1;60.66;103.03;10.53
