config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p3_all_res;33;j6010_1;154;154;1;66.15;94.7;0.0
p3_all_res;33;j6010_10;134;154;1;47.8;77.34;14.93
p3_all_res;33;j6010_2;124;133;1;60.61;94.2;7.26
p3_all_res;33;j6010_3;132;147;1;41.3;71.99;11.36
p3_all_res;33;j6010_4;146;161;1;32.08;57.94;10.27
p3_all_res;33;j6010_5;144;147;0;563.59;600.99;2.08
p3_all_res;33;j6010_6;126;140;1;36.29;58.76;11.11
p3_all_res;33;j6010_7;127;133;1;38.58;62.8;4.72
p3_all_res;33;j6010_8;116;126;1;60.15;77.55;8.62
p3_all_res;33;j6010_9;152;168;1;44.93;62.72;10.53
