config;n_feats;feas_count;avg_gap_pct;avg_rt_sec;delta_vs_net4
net4;4;10;8.09;72.28;2.09
p1_net_basic;4;10;8.09;60.22;2.09
p1_net_ext;3;10;8.09;72.4;2.09
p1_duration;3;10;8.09;60.25;2.09
p1_urgency;3;9;8.76;66.25;2.76
p1_timing;4;10;8.09;60.21;2.09
p1_res_joint;1;10;8.09;72.26;2.09
p1_res_mean;4;10;8.09;56.08;2.09
p1_res_cv;4;9;7.72;110.92;1.72
p1_res_iqr;4;10;8.09;52.32;2.09
p1_res_tail;4;9;7.72;103.75;1.72
p1_res_max;4;10;8.09;57.11;2.09
p1_res_min;4;10;8.09;57.6;2.09
p1_res_range;4;10;8.09;56.4;2.09
p1_res_pnz;4;8;8.43;152.12;2.43
p2_net4+net_ext;7;10;8.09;72.41;2.09
p2_net4+duration;7;10;8.09;60.24;2.09
p2_net4+urgency;7;10;8.09;55.93;2.09
p2_net4+timing;8;10;8.09;60.36;2.09
p2_net4+res_joint;5;10;8.09;60.41;2.09
p2_net4+res_mean;8;10;8.09;60.32;2.09
p2_net4+res_cv;8;8;8.43;153.79;2.43
p2_net4+res_iqr;8;9;7.72;104.32;1.72
p2_net4+res_tail;8;7;9.63;207.15;3.63
p2_net4+res_max;8;9;7.82;107.69;1.82
p2_net4+res_min;8;10;8.09;56.04;2.09
p2_net4+res_range;8;9;7.82;105.1;1.82
p2_net4+res_pnz;8;9;8.76;94.56;2.76
p3_all_net;7;10;8.09;66.33;2.09
p3_all_struct;18;9;8.18;98.47;2.18
p3_all_res;33;9;8.76;99.15;2.76
p3_all_50;50;10;8.09;53.64;2.09
