instance;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j1010_1;12;31;31;1;61.841;1;0.0;31;1;15.983;1;1;0.0;0;0;1;0
j1010_10;12;24;24;1;99.059;1;0.0;24;1;16.005;1;1;0.0;0;0;1;0
j1010_2;12;39;39;1;57.563;1;0.0;39;1;11.572;1;1;0.0;0;0;1;0
j1010_3;12;36;36;1;68.291;1;0.0;36;1;12.253;1;1;0.0;0;0;1;0
j1010_4;12;29;29;1;90.081;1;0.0;29;1;20.685;1;1;0.0;0;0;1;0
j1010_5;12;38;38;1;56.955;1;0.0;38;1;12.198;1;1;0.0;0;0;1;0
j1010_6;12;20;20;1;79.994;1;0.0;20;1;18.208;1;1;0.0;0;0;1;0
j1010_7;12;24;24;1;96.858;1;0.0;24;1;22.972;1;1;0.0;0;0;1;0
j1010_8;12;19;19;1;300.435;1;0.0;16;1;79.82;1;1;-15.79;-3;1;0;0
j1010_9;12;16;16;1;77.373;1;0.0;16;1;13.603;1;1;0.0;0;0;1;0
j1011_1;12;38;38;1;60.069;1;0.0;38;1;17.396;1;1;0.0;0;0;1;0
j1011_10;12;37;37;1;56.985;1;0.0;37;1;13.292;1;1;0.0;0;0;1;0
j1011_2;12;21;19;1;991.08;11;-9.52;19;1;46.862;1;1;-9.52;0;0;1;0
j1011_3;12;22;22;1;74.17;1;0.0;22;1;17.223;1;1;0.0;0;0;1;0
j1011_4;12;42;42;1;38.053;1;0.0;42;1;12.91;1;1;0.0;0;0;1;0
j1011_5;12;25;25;1;54.682;1;0.0;25;1;23.901;1;1;0.0;0;0;1;0
j1011_7;12;18;18;1;78.363;1;0.0;18;1;24.166;1;1;0.0;0;0;1;0
j1011_9;12;30;29;1;115.239;2;-3.33;29;1;25.045;1;1;-3.33;0;0;1;0
j1012_10;12;16;16;1;300.566;1;0.0;16;1;74.062;1;1;0.0;0;0;1;0
j1012_2;12;27;27;1;48.716;1;0.0;27;1;14.733;1;1;0.0;0;0;1;0
j1012_4;12;31;31;1;212.703;1;0.0;31;1;31.176;1;1;0.0;0;0;1;0
j1012_5;12;21;21;1;300.439;1;0.0;20;1;92.859;1;1;-4.76;-1;1;0;0
j1012_6;12;39;39;1;54.387;1;0.0;39;1;12.659;1;1;0.0;0;0;1;0
j1012_8;12;35;35;1;62.442;1;0.0;35;1;17.258;1;1;0.0;0;0;1;0
j1012_9;12;38;38;1;68.054;1;0.0;38;1;16.66;1;1;0.0;0;0;1;0
j1013_2;12;29;29;1;76.496;1;0.0;29;1;14.669;1;1;0.0;0;0;1;0
j1013_4;12;32;32;1;19.253;1;0.0;32;1;8.627;1;1;0.0;0;0;1;0
j1013_6;12;32;32;1;43.8;1;0.0;32;1;12.001;1;1;0.0;0;0;1;0
j1014_1;12;23;23;1;43.125;1;0.0;23;1;14.762;1;1;0.0;0;0;1;0
j1014_2;12;25;25;1;98.159;1;0.0;25;1;20.868;1;1;0.0;0;0;1;0
j1014_4;12;29;29;1;55.117;1;0.0;29;1;9.927;1;1;0.0;0;0;1;0
j1014_5;12;33;33;1;93.751;1;0.0;33;1;15.671;1;1;0.0;0;0;1;0
j1014_6;12;21;21;1;46.167;1;0.0;21;1;11.125;1;1;0.0;0;0;1;0
j1014_8;12;31;31;1;74.278;1;0.0;31;1;14.615;1;1;0.0;0;0;1;0
j1014_9;12;35;34;1;92.047;1;-2.86;34;1;43.467;1;1;-2.86;0;0;1;0
j1015_2;12;41;41;1;25.06;1;0.0;41;1;11.911;1;1;0.0;0;0;1;0
j102_2;12;24;24;1;44.341;1;0.0;24;1;19.626;1;1;0.0;0;0;1;0
j102_4;12;29;27;1;142.282;3;-6.9;27;1;40.647;1;1;-6.9;0;0;1;0
j102_5;12;27;20;1;468.079;5;-25.93;20;1;45.023;1;1;-25.93;0;0;1;0
j102_7;12;65;41;1;2673.944;13;-36.92;41;1;126.434;1;1;-36.92;0;0;1;0
j103_5;12;31;23;1;309.003;3;-25.81;23;1;28.873;1;1;-25.81;0;0;1;0
j103_6;12;34;34;1;31.33;1;0.0;34;1;12.974;1;1;0.0;0;0;1;0
j103_8;12;42;29;1;545.276;7;-30.95;29;1;138.688;1;1;-30.95;0;0;1;0
j104_1;12;42;40;1;44.265;2;-4.76;40;1;37.796;1;1;-4.76;0;0;1;0
j104_5;12;33;33;1;27.221;1;0.0;33;1;21.161;1;1;0.0;0;0;1;0
j104_9;12;28;26;1;173.57;2;-7.14;26;1;64.916;1;1;-7.14;0;0;1;0
j105_10;12;22;22;1;25.988;1;0.0;22;1;17.453;1;1;0.0;0;0;1;0
j105_3;12;23;23;1;15.107;1;0.0;23;1;11.329;1;1;0.0;0;0;1;0
j105_4;12;24;22;1;125.769;4;-8.33;22;1;20.28;1;1;-8.33;0;0;1;0
j106_3;12;43;43;1;19.92;1;0.0;43;1;13.712;1;1;0.0;0;0;1;0
