instance;k;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j3010_1;4;32;81;81;1;1695.203;28;0.0;81;1;123.868;1;1;0.0;0;0;1;0
j3012_3;4;32;70;70;1;60.875;1;0.0;70;1;60.341;1;1;0.0;0;0;1;0
j3012_9;4;32;98;98;0;3538.495;57;0.0;98;0;502.673;4;4;0.0;0;0;1;0
j3015_7;4;32;85;85;1;1331.114;22;0.0;85;1;61.419;1;1;0.0;0;0;1;0
j3015_9;4;32;98;98;0;3546.255;57;0.0;98;0;1131.851;9;9;0.0;0;0;1;0
j3016_2;4;32;89;89;0;3548.167;57;0.0;89;0;745.816;6;6;0.0;0;0;1;0
j3017_9;4;32;80;80;1;60.243;1;0.0;80;1;60.164;1;1;0.0;0;0;1;0
j3018_9;4;32;88;88;1;60.373;1;0.0;88;1;60.329;1;1;0.0;0;0;1;0
j301_10;4;32;78;78;1;60.415;1;0.0;78;1;60.402;1;1;0.0;0;0;1;0
j3020_9;4;32;74;74;1;60.385;1;0.0;74;1;60.332;1;1;0.0;0;0;1;0
j3021_6;4;32;130;130;1;1271.751;21;0.0;130;0;490.46;4;4;0.0;0;0;1;0
j3023_10;4;32;111;111;1;66.591;1;0.0;111;1;60.85;1;1;0.0;0;0;1;0
j3023_4;4;32;118;118;1;64.528;1;0.0;118;1;248.743;2;2;0.0;0;0;1;0
j3023_6;4;32;85;85;1;61.205;1;0.0;85;1;60.436;1;1;0.0;0;0;1;0
j3024_10;4;32;96;96;1;60.852;1;0.0;96;1;60.644;1;1;0.0;0;0;1;0
j3030_9;4;32;90;90;0;3550.745;55;0.0;90;0;513.053;4;4;0.0;0;0;1;0
j3031_3;4;32;107;107;0;3519.18;55;0.0;107;0;374.235;3;3;0.0;0;0;1;0
j3032_5;4;32;100;100;0;3529.522;57;0.0;100;0;758.922;6;6;0.0;0;0;1;0
j3032_9;4;32;116;116;0;3530.593;56;0.0;116;0;629.864;5;5;0.0;0;0;1;0
j3033_10;4;32;90;90;1;60.402;1;0.0;90;1;60.748;1;1;0.0;0;0;1;0
j3033_7;4;32;103;103;1;60.504;1;0.0;103;1;56.597;1;1;0.0;0;0;1;0
j3034_5;4;32;118;118;1;62.524;1;0.0;118;1;68.139;1;1;0.0;0;0;1;0
j3035_10;4;32;99;99;1;60.486;1;0.0;99;1;60.554;1;1;0.0;0;0;1;0
j3035_2;4;32;95;95;1;60.599;1;0.0;95;1;60.588;1;1;0.0;0;0;1;0
j3037_1;4;32;122;122;1;60.975;1;0.0;122;1;184.218;2;2;0.0;0;0;1;0
j3041_7;4;32;166;166;0;3528.71;51;0.0;166;0;791.251;6;6;0.0;0;0;1;0
j3042_6;4;32;122;122;1;2495.247;40;0.0;122;0;887.663;7;7;0.0;0;0;1;0
j3042_9;4;32;110;110;0;3528.049;57;0.0;110;0;631.52;5;5;0.0;0;0;1;0
j3044_2;4;32;98;98;0;3521.742;56;0.0;98;0;933.1;7;7;0.0;0;0;1;0
j3044_8;4;32;90;90;1;60.696;1;0.0;90;1;123.498;1;1;0.0;0;0;1;0
j3045_1;4;32;148;148;0;4012.012;50;0.0;148;0;601.494;5;5;0.0;0;0;1;0
j3045_10;4;32;151;151;0;3524.302;56;0.0;151;0;735.462;6;6;0.0;0;0;1;0
j3045_3;4;32;158;158;0;3537.576;52;0.0;158;0;398.692;3;3;0.0;0;0;1;0
j3045_5;4;32;135;135;0;3535.845;58;0.0;135;0;582.991;5;5;0.0;0;0;1;0
j3045_7;4;32;165;165;0;3533.319;54;0.0;165;0;804.559;6;6;0.0;0;0;1;0
j3045_9;4;32;139;139;0;3550.285;59;0.0;139;0;855.477;7;7;0.0;0;0;1;0
j3047_10;4;32;108;108;0;3530.011;58;0.0;108;0;367.103;3;3;0.0;0;0;1;0
j3047_7;4;32;116;116;0;3526.934;57;0.0;116;0;773.237;6;6;0.0;0;0;1;0
j304_3;4;32;85;85;1;60.474;1;0.0;85;1;60.368;1;1;0.0;0;0;1;0
j305_6;4;32;119;119;1;868.31;14;0.0;119;1;244.581;2;2;0.0;0;0;1;0
j306_10;4;32;107;107;0;3528.601;57;0.0;107;0;751.128;6;6;0.0;0;0;1;0
j306_3;4;32;81;81;1;122.467;2;0.0;81;1;60.564;1;1;0.0;0;0;1;0
j306_5;4;32;116;116;0;3524.554;55;0.0;116;0;388.006;3;3;0.0;0;0;1;0
j306_6;4;32;66;66;1;60.361;1;0.0;66;1;60.316;1;1;0.0;0;0;1;0
j306_7;4;32;86;86;1;60.392;1;0.0;86;1;60.408;1;1;0.0;0;0;1;0
j307_3;4;32;81;81;1;60.348;1;0.0;81;1;60.358;1;1;0.0;0;0;1;0
j307_5;4;32;74;74;0;3536.157;59;0.0;74;0;894.802;7;7;0.0;0;0;1;0
j307_9;4;32;105;105;1;60.409;1;0.0;105;1;60.362;1;1;0.0;0;0;1;0
j308_10;4;32;122;122;1;62.903;1;0.0;122;1;60.902;1;1;0.0;0;0;1;0
j309_8;4;32;162;162;0;3527.967;55;0.0;162;0;660.46;5;5;0.0;0;0;1;0
