method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
baseline;4;15;j12010_1;122;667;45;204;270;1;60.3;104.33;32.35
baseline;4;15;j12010_10;122;641;43;122;195;1;60.23;102.22;59.84
baseline;4;15;j12010_2;122;647;44;165;225;1;60.22;104.84;36.36
baseline;4;15;j12010_3;122;719;48;184;240;1;64.03;107.71;30.43
baseline;4;15;j12010_4;122;679;46;180;225;1;60.25;103.46;25.0
baseline;4;15;j12010_5;122;638;43;174;255;1;60.31;101.27;46.55
baseline;4;15;j12010_6;122;635;43;177;240;1;60.27;110.3;35.59
baseline;4;15;j12010_7;122;718;48;142;180;1;124.16;179.36;26.76
baseline;4;15;j12010_8;122;717;48;212;285;1;181.29;246.49;34.43
baseline;4;15;j12010_9;122;655;44;140;210;1;60.52;110.07;50.0
baseline;4;15;j12011_1;122;632;43;323;270;0;242.21;296.09;-16.41
baseline;4;15;j12011_10;122;660;44;363;285;0;368.07;436.0;-21.49
baseline;4;15;j12011_2;122;580;39;318;255;1;244.64;312.52;-19.81
baseline;4;15;j12011_3;122;675;45;396;270;1;60.95;114.59;-31.82
baseline;4;15;j12011_4;122;666;45;378;315;0;365.06;428.07;-16.67
baseline;4;15;j12011_5;122;681;46;419;345;1;61.15;134.25;-17.66
baseline;4;15;j12011_6;122;684;46;430;315;1;61.13;114.16;-26.74
baseline;4;15;j12011_7;122;581;39;310;270;1;60.2;90.86;-12.9
baseline;4;15;j12011_8;122;651;44;338;285;0;240.33;283.88;-15.68
baseline;4;15;j12011_9;122;648;44;335;270;1;60.22;90.29;-19.4
baseline;4;15;j12012_1;122;607;41;257;255;1;60.24;94.11;-0.78
baseline;4;15;j12012_10;122;704;47;259;270;1;121.29;165.25;4.25
baseline;4;15;j12012_2;122;627;42;217;225;1;60.46;92.43;3.69
baseline;4;15;j12012_3;122;647;44;253;255;1;60.3;95.3;0.79
baseline;4;15;j12012_4;122;632;43;275;285;1;60.27;101.69;3.64
baseline;4;15;j12012_5;122;728;49;315;255;1;60.32;99.05;-19.05
baseline;4;15;j12012_6;122;662;45;244;270;1;60.19;101.07;10.66
baseline;4;15;j12012_7;122;681;46;245;270;1;60.21;94.0;10.2
baseline;4;15;j12012_8;122;689;46;236;225;1;61.28;98.03;-4.66
baseline;4;15;j12012_9;122;605;41;203;180;1;61.64;97.67;-11.33
baseline;4;15;j12013_1;122;688;46;272;315;1;60.23;102.16;15.81
baseline;4;15;j12013_10;122;691;47;189;225;1;242.21;280.16;19.05
baseline;4;15;j12013_2;122;635;43;162;255;1;60.53;95.33;57.41
baseline;4;15;j12013_3;122;682;46;257;300;1;60.44;103.73;16.73
baseline;4;15;j12013_4;122;678;46;220;255;1;61.16;103.0;15.91
baseline;4;15;j12013_5;122;650;44;186;210;1;60.21;109.26;12.9
baseline;4;15;j12013_6;122;628;42;201;225;1;60.22;95.44;11.94
baseline;4;15;j12013_7;122;679;46;228;225;1;60.32;99.72;-1.32
baseline;4;15;j12013_8;122;678;46;194;210;1;60.19;89.29;8.25
baseline;4;15;j12013_9;122;622;42;180;225;1;60.23;92.7;25.0
baseline;4;15;j12014_1;122;715;48;168;210;1;60.2;90.64;25.0
baseline;4;15;j12014_10;122;651;44;157;210;1;60.22;86.52;33.76
baseline;4;15;j12014_2;122;730;49;180;240;1;60.25;102.28;33.33
baseline;4;15;j12014_3;122;627;42;169;240;1;60.16;89.12;42.01
baseline;4;15;j12014_4;122;645;43;174;240;1;60.24;87.35;37.93
baseline;4;15;j12014_5;122;631;43;195;255;1;60.21;88.52;30.77
baseline;4;15;j12014_6;122;652;44;190;270;1;60.23;94.45;42.11
baseline;4;15;j12014_7;122;685;46;163;210;1;60.18;89.11;28.83
baseline;4;15;j12014_8;122;683;46;209;225;1;60.6;99.12;7.66
baseline;4;15;j12014_9;122;652;44;196;270;1;60.18;88.4;37.76
