method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
pergroup_kmd;3;15;j12010_1;122;667;45;202;195;1;131.56;185.44;-3.47
pergroup_kmd;3;15;j12010_10;122;641;43;120;150;1;16.97;60.88;25.0
pergroup_kmd;3;15;j12010_2;122;647;44;165;165;1;14.43;57.42;0.0
pergroup_kmd;3;15;j12010_3;122;719;48;181;210;1;136.94;200.86;16.02
pergroup_kmd;3;15;j12010_4;122;679;46;178;195;1;15.12;61.67;9.55
pergroup_kmd;3;15;j12010_5;122;638;43;176;225;1;13.31;52.54;27.84
pergroup_kmd;3;15;j12010_6;122;635;43;163;180;1;129.91;178.51;10.43
pergroup_kmd;3;15;j12010_7;122;718;48;143;165;1;136.94;194.58;15.38
pergroup_kmd;3;15;j12010_8;122;717;48;206;240;1;376.6;458.81;16.5
pergroup_kmd;3;15;j12010_9;122;655;44;138;180;1;133.17;185.21;30.43
pergroup_kmd;3;15;j12011_1;122;632;43;308;150;1;131.94;179.91;-51.3
pergroup_kmd;3;15;j12011_10;122;660;44;327;210;1;251.47;308.44;-35.78
pergroup_kmd;3;15;j12011_2;122;580;39;297;180;1;131.22;177.82;-39.39
pergroup_kmd;3;15;j12011_3;122;675;45;383;165;1;139.81;196.52;-56.92
pergroup_kmd;3;15;j12011_4;122;666;45;351;195;1;256.38;322.88;-44.44
pergroup_kmd;3;15;j12011_5;122;681;46;402;165;1;62.64;109.31;-58.96
pergroup_kmd;3;15;j12011_6;122;684;46;383;300;0;127.66;186.34;-21.67
pergroup_kmd;3;15;j12011_7;122;581;39;309;150;1;252.65;305.24;-51.46
pergroup_kmd;3;15;j12011_8;122;651;44;297;195;1;132.05;183.62;-34.34
pergroup_kmd;3;15;j12011_9;122;648;44;321;180;1;132.7;181.38;-43.93
pergroup_kmd;3;15;j12012_1;122;607;41;249;195;1;14.14;50.07;-21.69
pergroup_kmd;3;15;j12012_10;122;704;47;230;150;1;21.88;67.72;-34.78
pergroup_kmd;3;15;j12012_2;122;627;42;207;165;1;14.75;50.9;-20.29
pergroup_kmd;3;15;j12012_3;122;647;44;256;240;0;129.62;194.41;-6.25
pergroup_kmd;3;15;j12012_4;122;632;43;242;210;1;373.8;452.85;-13.22
pergroup_kmd;3;15;j12012_5;122;728;49;311;195;1;24.41;78.44;-37.3
pergroup_kmd;3;15;j12012_6;122;662;45;238;180;1;255.95;341.04;-24.37
pergroup_kmd;3;15;j12012_7;122;681;46;229;150;1;260.27;358.1;-34.5
pergroup_kmd;3;15;j12012_8;122;689;46;221;165;1;159.01;254.39;-25.34
pergroup_kmd;3;15;j12012_9;122;605;41;205;135;1;169.21;228.76;-34.15
pergroup_kmd;3;15;j12013_1;122;688;46;254;285;0;480.81;646.99;12.2
pergroup_kmd;3;15;j12013_10;122;691;47;190;165;1;133.83;187.93;-13.16
pergroup_kmd;3;15;j12013_2;122;635;43;166;165;1;129.16;172.88;-0.6
pergroup_kmd;3;15;j12013_3;122;682;46;240;225;1;131.35;181.57;-6.25
pergroup_kmd;3;15;j12013_4;122;678;46;203;180;1;135.8;189.1;-11.33
pergroup_kmd;3;15;j12013_5;122;650;44;176;135;1;32.6;65.89;-23.3
pergroup_kmd;3;15;j12013_6;122;628;42;194;150;1;14.51;50.97;-22.68
pergroup_kmd;3;15;j12013_7;122;679;46;231;225;0;126.27;175.06;-2.6
pergroup_kmd;3;15;j12013_8;122;678;46;190;150;1;132.64;183.87;-21.05
pergroup_kmd;3;15;j12013_9;122;622;42;173;135;1;12.59;45.13;-21.97
pergroup_kmd;3;15;j12014_1;122;715;48;165;165;1;15.42;51.16;0.0
pergroup_kmd;3;15;j12014_10;122;651;44;151;165;1;15.42;50.55;9.27
pergroup_kmd;3;15;j12014_2;122;730;49;170;165;1;132.98;189.95;-2.94
pergroup_kmd;3;15;j12014_3;122;627;42;171;150;1;13.1;46.54;-12.28
pergroup_kmd;3;15;j12014_4;122;645;43;168;165;1;20.01;52.14;-1.79
pergroup_kmd;3;15;j12014_5;122;631;43;189;180;1;11.85;47.16;-4.76
pergroup_kmd;3;15;j12014_6;122;652;44;169;195;1;18.04;59.85;15.38
pergroup_kmd;3;15;j12014_7;122;685;46;179;195;1;133.42;182.0;8.94
pergroup_kmd;3;15;j12014_8;122;683;46;194;180;1;131.14;183.96;-7.22
pergroup_kmd;3;15;j12014_9;122;652;44;183;180;1;303.36;357.58;-1.64
