method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
baseline;10;j12010_1;122;667;45;204;270;1;60.69;94.79;32.35
baseline;10;j12010_10;122;641;43;122;195;1;63.89;102.62;59.84
baseline;10;j12010_2;122;647;44;165;225;1;61.36;114.41;36.36
baseline;10;j12010_3;122;719;48;184;240;1;241.96;296.19;30.43
baseline;10;j12010_4;122;679;46;180;225;1;60.22;86.71;25.0
baseline;10;j12010_5;122;638;43;174;255;1;60.22;84.06;46.55
baseline;10;j12010_6;122;635;43;177;240;1;60.2;84.85;35.59
baseline;10;j12010_7;122;718;48;142;180;1;60.43;89.51;26.76
baseline;10;j12010_8;122;717;48;212;285;1;60.6;89.4;34.43
baseline;10;j12010_9;122;655;44;140;210;1;60.21;85.65;50.0
