method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
global_backward;3;j12010_1;122;667;45;204;240;1;60.17;69.88;17.65
global_backward;3;j12010_10;122;641;43;122;195;1;16.4;28.05;59.84
global_backward;3;j12010_2;122;647;44;165;225;1;16.51;28.54;36.36
global_backward;3;j12010_3;122;719;48;184;210;1;60.78;74.79;14.13
global_backward;3;j12010_4;122;679;46;180;225;1;23.12;42.23;25.0
global_backward;3;j12010_5;122;638;43;174;255;1;18.16;32.27;46.55
global_backward;3;j12010_6;122;635;43;177;225;1;54.49;67.8;27.12
global_backward;3;j12010_7;122;718;48;142;180;1;60.14;75.56;26.76
global_backward;3;j12010_8;122;717;48;212;270;1;60.16;78.64;27.36
global_backward;3;j12010_9;122;655;44;140;195;1;60.11;74.5;39.29
