method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
global_kmedoids;3;j12010_1;122;667;45;204;255;1;60.09;69.56;25.0
global_kmedoids;3;j12010_10;122;641;43;122;195;1;16.07;27.5;59.84
global_kmedoids;3;j12010_2;122;647;44;165;210;1;16.29;28.33;27.27
global_kmedoids;3;j12010_3;122;719;48;184;210;1;60.45;74.8;14.13
global_kmedoids;3;j12010_4;122;679;46;180;225;1;23.25;42.3;25.0
global_kmedoids;3;j12010_5;122;638;43;174;255;1;18.39;32.14;46.55
global_kmedoids;3;j12010_6;122;635;43;177;225;1;60.12;73.12;27.12
global_kmedoids;3;j12010_7;122;718;48;142;180;1;60.15;75.46;26.76
global_kmedoids;3;j12010_8;122;717;48;212;270;1;60.14;77.36;27.36
global_kmedoids;3;j12010_9;122;655;44;140;195;1;60.09;74.62;39.29
