method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
global_naive;3;j12010_1;122;667;45;204;270;1;60.16;69.86;32.35
global_naive;3;j12010_10;122;641;43;122;195;1;16.57;28.2;59.84
global_naive;3;j12010_2;122;647;44;165;210;1;16.71;28.95;27.27
global_naive;3;j12010_3;122;719;48;184;210;1;60.21;74.28;14.13
global_naive;3;j12010_4;122;679;46;180;225;1;22.45;41.17;25.0
global_naive;3;j12010_5;122;638;43;174;255;1;18.28;31.83;46.55
global_naive;3;j12010_6;122;635;43;177;225;1;60.11;73.33;27.12
global_naive;3;j12010_7;122;718;48;142;180;1;60.16;75.71;26.76
global_naive;3;j12010_8;122;717;48;212;285;1;60.13;77.44;34.43
global_naive;3;j12010_9;122;655;44;140;195;1;60.09;74.66;39.29
