method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
global_random;3;j12010_1;122;667;45;204;240;1;60.15;69.94;17.65
global_random;3;j12010_10;122;641;43;122;195;1;16.19;28.15;59.84
global_random;3;j12010_2;122;647;44;165;225;1;16.73;29.13;36.36
global_random;3;j12010_3;122;719;48;184;210;1;60.13;74.75;14.13
global_random;3;j12010_4;122;679;46;180;225;1;22.46;42.06;25.0
global_random;3;j12010_5;122;638;43;174;255;1;18.35;32.8;46.55
global_random;3;j12010_6;122;635;43;177;240;1;57.4;70.98;35.59
global_random;3;j12010_7;122;718;48;142;180;1;60.13;76.11;26.76
global_random;3;j12010_8;122;717;48;212;270;1;60.14;77.81;27.36
global_random;3;j12010_9;122;655;44;140;195;1;60.09;74.75;39.29
