method;n_scen_used;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
pergroup_kmed;10;j12010_1;122;667;45;204;225;1;136.3;215.4;10.29
pergroup_kmed;10;j12010_10;122;641;43;122;150;1;20.8;80.56;22.95
pergroup_kmed;10;j12010_2;122;647;44;165;165;1;23.72;85.09;0.0
pergroup_kmed;10;j12010_3;122;719;48;184;195;1;138.65;215.62;5.98
pergroup_kmed;10;j12010_4;122;679;46;180;195;1;11.95;46.1;8.33
pergroup_kmed;10;j12010_5;122;638;43;174;225;1;11.07;44.37;29.31
pergroup_kmed;10;j12010_6;122;635;43;177;165;1;63.18;95.25;-6.78
pergroup_kmed;10;j12010_7;122;718;48;142;165;1;130.86;176.24;16.2
pergroup_kmed;10;j12010_8;122;717;48;212;255;1;369.41;424.01;20.28
pergroup_kmed;10;j12010_9;122;655;44;140;135;1;127.67;161.2;-3.57
