instance;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21;z_22;z_23;best_obj;iter_best;feasible;runtime_total_sec
j1010_10;22;;;;;;;;;;;;;;;;;;;;;;;;22;-1;1;2.298
j1010_2;38;;;;;;;;;;;;;;;;;;;;;;;;38;-1;1;1.683
j1010_3;39;;;;;;;;;;;;;;;;;;;;;;;;39;-1;1;3.748
j1010_4;28;;;;;;;;;;;;;;;;;;;;;;;;28;-1;1;4.832
j1010_5;37;37;37;37;37;37;37;37;37;37;;;;;;;;;;;;;;;37;0;1;19.809
j1010_7;24;;;;;;;;;;;;;;;;;;;;;;;;24;-1;1;4.917
j1010_8;17;17;17;17;;;;;;;;;;;;;;;;;;;;;17;0;1;13.515
j1011_1;36;;;;;;;;;;;;;;;;;;;;;;;;36;-1;1;2.75
j1011_10;40;;;;;;;;;;;;;;;;;;;;;;;;40;-1;1;2.117
j1011_4;42;;;;;;;;;;;;;;;;;;;;;;;;42;-1;1;1.922
j1011_5;25;;;;;;;;;;;;;;;;;;;;;;;;25;-1;1;3.637
j1011_7;18;;;;;;;;;;;;;;;;;;;;;;;;18;-1;1;4.003
j1011_9;30;;;;;;;;;;;;;;;;;;;;;;;;30;-1;1;1.957
j1012_10;16;;;;;;;;;;;;;;;;;;;;;;;;16;-1;1;2.426
j1012_2;26;;;;;;;;;;;;;;;;;;;;;;;;26;-1;1;2.182
j1012_4;28;;;;;;;;;;;;;;;;;;;;;;;;28;-1;1;2.778
j1012_5;18;18;18;;;;;;;;;;;;;;;;;;;;;;18;0;1;15.026
j1012_6;40;40;40;40;40;40;40;;;;;;;;;;;;;;;;;;40;0;1;20.149
j1012_8;35;;;;;;;;;;;;;;;;;;;;;;;;35;-1;1;2.309
j1012_9;38;;;;;;;;;;;;;;;;;;;;;;;;38;-1;1;3.388
j1013_2;30;;;;;;;;;;;;;;;;;;;;;;;;30;-1;1;4.225
j1013_4;31;31;31;31;31;31;31;31;31;31;31;31;;;;;;;;;;;;;31;0;1;26.903
j1013_6;33;;;;;;;;;;;;;;;;;;;;;;;;33;-1;1;3.023
j1014_1;23;;;;;;;;;;;;;;;;;;;;;;;;23;-1;1;3.155
j1014_2;24;;;;;;;;;;;;;;;;;;;;;;;;24;-1;1;3.748
j1014_4;31;;;;;;;;;;;;;;;;;;;;;;;;31;-1;1;2.016
j1014_5;36;;;;;;;;;;;;;;;;;;;;;;;;36;-1;1;3.354
j1014_6;23;23;23;23;23;23;23;23;23;23;;;;;;;;;;;;;;;23;0;1;25.766
j1014_8;33;;;;;;;;;;;;;;;;;;;;;;;;33;-1;1;3.463
j1014_9;37;;;;;;;;;;;;;;;;;;;;;;;;37;-1;1;3.784
j1015_2;45;45;45;45;;;;;;;;;;;;;;;;;;;;;45;0;1;10.299
j102_2;24;24;24;;;;;;;;;;;;;;;;;;;;;;24;-1;1;9.776
j102_4;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;;;;;;;;;27;-1;0;21.303
j102_5;21;21;21;21;21;21;21;21;21;21;;;;;;;;;;;;;;;21;0;1;35.589
j102_7;45;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;;;;;;;41;1;0;201.09
j103_5;25;;;;;;;;;;;;;;;;;;;;;;;;25;-1;1;4.078
j103_6;32;;;;;;;;;;;;;;;;;;;;;;;;32;-1;1;3.035
j103_8;29;29;29;29;29;29;29;29;29;29;;;;;;;;;;;;;;;29;0;1;22.865
j104_1;40;40;40;40;40;40;40;40;40;40;40;;;;;;;;;;;;;;40;0;1;38.718
j104_5;32;32;32;32;32;;;;;;;;;;;;;;;;;;;;32;-1;1;18.23
j104_9;26;26;;;;;;;;;;;;;;;;;;;;;;;26;-1;1;11.7
j105_10;24;24;24;24;24;24;24;24;24;24;24;;;;;;;;;;;;;;24;-1;1;55.482
j105_3;23;;;;;;;;;;;;;;;;;;;;;;;;23;-1;1;2.612
j105_4;32;32;32;32;21;21;21;21;21;21;21;21;21;21;;;;;;;;;;;21;4;1;172.229
j106_3;41;;;;;;;;;;;;;;;;;;;;;;;;41;-1;1;3.587
j106_7;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;-1;0;15.364
j107_5;33;33;33;33;33;33;33;33;33;33;33;33;;;;;;;;;;;;;33;0;1;66.175
j107_9;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;;;;;;;;;;31;-1;0;169.254
j108_6;21;;;;;;;;;;;;;;;;;;;;;;;;21;-1;1;2.6
j108_8;19;19;19;19;19;19;19;19;19;19;19;19;19;;;;;;;;;;;;19;0;1;97.598
