instance;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;best_obj;iter_best;feasible;runtime_total_sec;n_groups;iters_seen
j1010_10;22;22;22;22;22;;;;22;-1;1;10.938;5;5
j1010_2;38;38;38;38;;;;;38;-1;1;6.105;4;4
j1010_3;39;39;39;39;39;39;;;39;-1;1;10.226;6;6
j1010_4;28;28;28;28;;;;;28;-1;1;7.818;4;4
j1010_5;37;37;37;37;;;;;37;0;1;6.135;4;4
j1010_7;24;24;24;24;24;;;;24;-1;1;11.915;5;5
j1010_8;17;17;17;17;;;;;17;0;1;8.71;4;4
j1011_1;36;36;36;36;36;;;;36;-1;1;11.075;5;5
j1011_10;40;40;40;40;40;;;;40;-1;1;9.625;5;5
j1011_4;42;42;42;42;;;;;42;-1;1;6.385;4;4
j1011_5;25;25;25;25;25;;;;25;-1;1;11.66;5;5
j1011_7;18;18;18;18;;;;;18;-1;1;10.315;4;4
j1011_9;30;30;30;30;30;;;;30;-1;1;7.228;5;5
j1012_10;16;16;;;;;;;16;-1;1;3.993;2;2
j1012_2;26;26;26;;;;;;26;-1;1;5.129;3;3
j1012_4;28;28;28;;;;;;28;-1;1;7.55;3;3
j1012_5;18;18;18;18;18;;;;18;0;1;16.043;5;5
j1012_6;40;40;40;40;;;;;40;0;1;7.894;4;4
j1012_8;35;35;35;35;;;;;35;-1;1;7.267;4;4
j1012_9;38;38;38;38;;;;;38;-1;1;9.328;4;4
j1013_2;30;30;30;30;;;;;30;-1;1;11.142;4;4
j1013_4;31;31;31;31;31;;;;31;0;1;8.793;5;5
j1013_6;33;33;33;;;;;;33;-1;1;9.451;3;3
j1014_1;23;23;23;23;;;;;23;-1;1;11.478;4;4
j1014_2;24;24;24;24;;;;;24;-1;1;13.565;4;4
j1014_4;31;31;31;31;;;;;31;-1;1;8.701;4;4
j1014_5;36;36;36;36;;;;;36;-1;1;12.025;4;4
j1014_6;23;23;23;23;;;;;23;0;1;9.258;4;4
j1014_8;33;33;33;33;;;;;33;-1;1;12.137;4;4
j1014_9;37;37;37;37;37;;;;37;-1;1;17.043;5;5
j1015_2;45;45;45;45;45;;;;45;0;1;10.893;5;5
j102_2;24;24;24;24;;;;;24;-1;1;11.282;4;4
j102_4;27;27;27;;;;;;27;-1;1;8.312;3;3
j102_5;21;21;21;21;;;;;21;0;1;18.392;4;4
j102_7;41;41;41;41;41;;;;41;0;1;43.31;5;5
j103_5;25;25;25;25;;;;;25;-1;1;11.965;4;4
j103_6;32;32;32;32;32;;;;32;-1;1;11.502;5;5
j103_8;29;29;29;;;;;;29;0;1;5.72;3;3
j104_1;40;40;40;40;;;;;40;0;1;10.839;4;4
j104_5;32;32;32;;;;;;32;-1;1;7.249;3;3
j104_9;26;26;26;26;;;;;26;-1;1;8.942;4;4
j105_10;24;24;24;;;;;;24;-1;1;16.326;3;3
j105_3;23;23;23;23;23;;;;23;-1;1;8.728;5;5
j105_4;32;32;24;21;21;;;;21;3;1;69.129;4;5
j106_3;41;41;41;41;41;;;;41;-1;1;16.174;5;5
j106_7;29;29;29;29;29;29;29;29;29;-1;0;8.053;4;8
j107_5;35;35;35;35;;;;;35;-1;0;4.371;2;4
j107_9;31;31;;;;;;;31;-1;1;32.041;2;2
j108_6;21;21;;;;;;;21;-1;1;5.02;2;2
j108_8;23;23;23;23;23;23;23;23;23;-1;0;62.333;4;8
